feature,importance
plasma glucose,0.11399300349825081
age,0.05622188905547222
blood pressure,0.034082958520739594
chest pain type,0.03313343328335827
bmi,0.01834082958520734
heart_disease,0.005247376311844021
exercise angina,0.004247876061968969
Residence_type,0.003948025987006431
cholesterol,0.0027986006996501443
gender,0.0020489755122438556
skin_thickness,0.0009995002498750516
hypertension,4.997501249371927e-05
diabetes_pedigree,-0.00039980009995005394
insulin,-0.0005497251374313228
max heart rate,-0.008345827086456804
